PERMNO,date,TICKER,PRC
18411,2020-02-28,SO,60.36000
18411,2020-03-31,SO,54.14000
18411,2020-04-30,SO,56.73000
18411,2020-05-29,SO,57.07000
18411,2020-06-30,SO,51.85000
18411,2020-07-31,SO,54.61000
18411,2020-08-31,SO,52.18000
18411,2020-09-30,SO,54.22000
18411,2020-10-30,SO,57.45000
18411,2020-11-30,SO,59.85000
18411,2020-12-31,SO,61.43000
18411,2021-01-29,SO,58.92000
18411,2021-02-26,SO,56.72000
18411,2021-03-31,SO,62.16000
18411,2021-04-30,SO,66.17000
18411,2021-05-28,SO,63.92000
18411,2021-06-30,SO,60.51000
18411,2021-07-30,SO,63.87000
18411,2021-08-31,SO,65.73000
18411,2021-09-30,SO,61.97000
18411,2021-10-29,SO,62.32000
18411,2021-11-30,SO,61.10000
18411,2021-12-31,SO,68.58000
18411,2022-01-31,SO,69.49000
18411,2022-02-28,SO,64.77000
18411,2022-03-31,SO,72.51000
18411,2022-04-29,SO,73.39000
18411,2022-05-31,SO,75.66000
18411,2022-06-30,SO,71.31000
18411,2022-07-29,SO,76.89000
18411,2022-08-31,SO,77.07000
18411,2022-09-30,SO,68.00000
18411,2022-10-31,SO,65.48000
18411,2022-11-30,SO,67.64000
18411,2022-12-30,SO,71.41000
18411,2023-01-31,SO,67.68000
18411,2023-02-28,SO,63.06000
18411,2023-03-31,SO,69.58000
18411,2023-04-28,SO,73.55000
18411,2023-05-31,SO,69.75000
18411,2023-06-30,SO,70.25000
18411,2023-07-31,SO,72.34000
18411,2023-08-31,SO,67.73000
18428,2019-03-29,,
18428,2019-04-30,DOW,56.73000
18428,2019-05-31,DOW,46.76000
18428,2019-06-28,DOW,49.31000
18428,2019-07-31,DOW,48.44000
18428,2019-08-30,DOW,42.63000
18428,2019-09-30,DOW,47.65000
18428,2019-10-31,DOW,50.49000
18428,2019-11-29,DOW,53.37000
18428,2019-12-31,DOW,54.73000
18428,2020-01-31,DOW,46.07000
18428,2020-02-28,DOW,40.41000
18428,2020-03-31,DOW,29.24000
18428,2020-04-30,DOW,36.69000
18428,2020-05-29,DOW,38.60000
18428,2020-06-30,DOW,40.76000
18428,2020-07-31,DOW,41.06000
18428,2020-08-31,DOW,45.12000
18428,2020-09-30,DOW,47.05000
18428,2020-10-30,DOW,45.49000
18428,2020-11-30,DOW,53.01000
18428,2020-12-31,DOW,55.50000
18428,2021-01-29,DOW,51.90000
18428,2021-02-26,DOW,59.31000
18428,2021-03-31,DOW,63.94000
